Case,Group ID,Target Flow,Target T_in,Feed temperature at the inlet (°C),Feed temperature at the inlet uncertainty (°C),Coolant temperature at the inlet (°C),Coolant temperature at the inlet uncertainty (°C),Feed salinity at the inlet (g/L),Coolant salinity at the inlet (g/L),Barium concentration at the inlet (g/L),Membrane thickness (m),Membrane porosity,Pore diameter (m),Polymer conductivity (W/mK),Membrane area (m²),Feed channel height (m),Cold channel height (m),Channel width (m),Spacer porosity,Gap spacer porosity,Air gap thickness (m),Wall thickness (m),Spacer thermal conductivity (W/mK),Condensing wall thermal conductivity (W/mK),Feed flow rate (L/h),Coolant flow rate (L/h),Real Flow (mL/min),Flow Exp. Unc. (±),Vacuum pressure (Pa),Vacuum pressure uncertainty (Pa),Number of channels,Feed temperature at the outlet (°C),Feed temperature at the outlet uncertainty (°C),Coolant temperature at the outlet (°C),Coolant temperature at the outlet uncertainty (°C),Permeate mass flow rate (g/min),Permeate mass flow rate uncertainty (g/min),Distilled water flux (L/h),Distilled water flux (L/m²h),Distilled water flux uncertainty (L/m²h)
Case 1 (800 ml/min | 50°C),800 ml/min | 50°C,800 ml/min,50°C,50.38664333333333,0.2156647893982693,30.69281,0.2002549960333621,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,42.60359999999999,42.60359999999999,710.06,5.317,0,0,1,49.52688,0.1863301882430047,31.62834,0.2092938502917798,0.738695193109197,0.0481178677871646,0.0443217115865518,5.643220354858759,0.3675937429428889
Case 2 (800 ml/min | 80°C),800 ml/min | 80°C,800 ml/min,80°C,81.39806666666667,0.2157349141617726,59.49878666666666,0.1998841474564026,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,42.60359999999999,42.60359999999999,710.06,5.317,0,0,1,80.72434,0.1865009492230026,61.00254,0.2091043930141815,1.4362889691580998,1.0145100723306666,0.0861773381494859,10.97244874722494,7.750292602133315
Case 3 (800 ml/min | 55°C),800 ml/min | 55°C,800 ml/min,55°C,56.12597333333333,0.2158820354826545,35.69345666666667,0.2009196680924909,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,42.9528,42.9528,715.88,5.7168,0,0,1,55.79225666666667,0.1866194840816339,36.63036333333334,0.2099809229224827,0.8036632397888297,0.2733353203752416,0.0482197943873297,6.139540091142356,2.08812979701546
Case 4 (800 ml/min | 60°C),800 ml/min | 60°C,800 ml/min,60°C,61.113976666666666,0.5774099049454793,41.14460444444445,1.006193736049409,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,43.0026,43.0026,716.71,8.4216,0,0,1,60.50797333333333,1.3219214359095164,42.142737777777775,0.6980121710784856,0.958814526389032,0.1281999855465617,0.0575288715833419,7.32480961339219,0.979376574638155
Case 5 (800 ml/min | 40°C),800 ml/min | 40°C,800 ml/min,40°C,39.935561666666665,1.3258558023250953,20.12776333333333,1.312067187581819,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,43.071,43.071,717.85,8.8987,0,0,1,39.48106166666666,1.4695706786790774,20.799755,1.2580767531810229,0.449922444930785,0.0666882506150042,0.0269953466958471,3.437157196941307,0.5094611374368078
Case 6 (800 ml/min | 45°C),800 ml/min | 45°C,800 ml/min,45°C,45.96684,0.2157734375105573,25.178093333333333,0.1994499056065656,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,43.2264,43.2264,720.44,7.2894,0,0,1,45.59252666666666,0.1864790568945673,25.876216666666664,0.209030869152055,0.5344751319811062,0.2733353203752416,0.0320685079188663,4.083092691136192,2.08812979701546
Case 7 (1000 ml/min | 45°C),1000 ml/min | 45°C,1000 ml/min,45°C,45.48397333333333,0.2157218585811624,25.03551,0.200363250542069,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,52.2864,52.2864,871.44,5.7866,0,0,1,45.051226666666665,0.1864784477988974,25.809276666666666,0.2099041083518386,0.7110608502361764,0.2733353203752416,0.0426636510141705,5.432109347708718,2.08812979701546
Case 8 (1000 ml/min | 40°C),1000 ml/min | 40°C,1000 ml/min,40°C,39.26972777777778,0.4376820725501733,19.754657777777776,0.2808267183439242,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,52.332,52.332,872.2,12.0883,0,0,1,38.73199,0.5938613088563108,20.394407777777776,0.237045018563534,0.4921433535139137,0.0770049588887158,0.0295286012108348,3.75970145191891,0.5882750496815877
Case 9 (1000 ml/min | 60°C),1000 ml/min | 60°C,1000 ml/min,60°C,61.14655,1.6434531633541518,40.18666,1.47396772135689,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,52.332,52.332,872.2,12.0883,0,0,1,60.39875333333333,0.62224073555474,41.18168,1.1974627778004727,1.0922558948366885,0.1281999855465617,0.0655353536902013,8.344227437724376,0.979376574638155
Case 10 (1000 ml/min | 50°C),1000 ml/min | 50°C,1000 ml/min,50°C,50.70454888888889,0.6556190513145556,30.76035111111111,0.214883766509483,0.3,0.3,0.0,0.00015,0.7,3.5e-07,0.3,0.007853975,0.002,0.002,0.0886226551170749,1.0,0.636620310097753,0.002,0.002,0.27,18.0,52.809,52.809,880.15,15.0313,0,0,1,50.21186555555556,1.2094455071487047,31.535882222222217,0.2408555792707496,0.7779407249746034,0.0277808639197503,0.0466764434984762,5.943034386852035,0.2122303464404989
